dir,protein_1,protein_2,RMSD after refinement,Number of aligned atoms after refinement,Number of refinement cycles,RMSD before refinement,Number of aligned atoms before refinement,Raw alignment score,Number of residues aligned
CRISP,Hh03G008934,Hh03G010271,0.692901075,866,5,9.854932785,1320,329,201
CRISP,Hh03G008934,Hh03G010642,0.698768914,1005,5,10.66947365,1321,554,187
CRISP,Hh03G008934,Hh04G012535,1.315351725,949,5,16.47485924,1378,366.5,206
CRISP,Hh03G008934,Hh05G015075,0.7312572,514,5,4.458280563,806,110,123
CRISP,Hh03G008934,HhUnG022429,0.671844721,1201,5,11.1379118,1535,699,219
CRISP,Hh03G008934,HhUnG022502,2.213233709,757,5,18.486063,1156,198,179
CRISP,Hh03G008934,HhUnG022504,4.034046173,182,5,7.522604465,229,73.5,38
CRISP,Hh03G008934,HhUnG022505,0.786497653,585,5,7.382766247,933,188.5,147
CRISP,Hh03G008935,Hh03G010271,0.691669345,868,5,16.4490242,1254,285.5,189
CRISP,Hh03G008935,Hh03G010642,0.525703609,981,5,7.437531948,1427,644,201
CRISP,Hh03G008935,Hh04G012535,0.603013456,786,5,6.201557159,1116,334,168
CRISP,Hh03G008935,Hh05G015075,1.15151,547,5,7.050888538,845,123,130
CRISP,Hh03G008935,Hh10G019333,0.422210068,1143,5,21.3579483,1570,729.5,223
CRISP,Hh03G008935,HhUnG022429,0.437955767,1220,5,8.995154381,1723,836,244
CRISP,Hh03G008935,HhUnG022502,0.808871865,553,5,8.93512249,801,196.5,122
CRISP,Hh03G008935,HhUnG022505,0.771592379,545,5,8.952597618,796,192.5,122
CRISP,Hh03G010271,Hh04G012535,0.735196054,953,5,14.03743744,1445,370,223
CRISP,Hh03G010271,Hh05G015075,2.697999716,684,5,7.036142826,960,128,146
CRISP,Hh03G010271,Hh10G019333,0.486079693,811,5,6.763286114,1183,321.5,181
CRISP,Hh03G010271,HhUnG022429,0.540212691,766,5,3.213909388,1074,295,164
CRISP,Hh03G010271,HhUnG022504,5.71511507,267,5,8.141117096,314,76.5,51
CRISP,Hh03G010271,HhUnG022505,0.776671648,634,5,5.100679398,906,199.5,142
CRISP,Hh03G010642,Hh04G012535,1.134941101,708,5,20.06835365,1008,237.5,147
CRISP,Hh03G010642,Hh05G015075,1.002149582,487,5,5.87035799,770,103.5,120
CRISP,Hh03G010642,Hh10G019333,0.968756974,1041,5,20.47213745,1305,556,181
CRISP,Hh03G010642,HhUnG022429,0.210780904,1140,5,4.414433479,1682,1143,205
CRISP,Hh03G010642,HhUnG022502,0.641162872,445,5,4.869137764,656,145,100
CRISP,Hh03G010642,HhUnG022504,9.984656334,213,1,9.984656334,213,50,35
CRISP,Hh03G010642,HhUnG022505,0.599207878,437,5,4.874023914,657,147,100
CRISP,Hh04G012535,Hh05G015075,2.04154706,646,5,5.831036091,913,111.5,144
CRISP,Hh04G012535,Hh10G019333,1.284084558,894,5,18.37853622,1316,348,196
CRISP,Hh04G012535,HhUnG022429,0.799419284,842,5,18.35412407,1200,331,178
CRISP,Hh04G012535,HhUnG022502,0.594896972,540,5,3.622703075,794,203.5,125
CRISP,Hh04G012535,HhUnG022505,0.596747458,540,5,3.594132423,788,204.5,125
CRISP,Hh05G015075,Hh10G019333,1.685625196,623,5,5.251868725,878,149,134
CRISP,Hh05G015075,HhUnG022502,0.541712224,460,5,3.671598434,684,164,107
CRISP,Hh05G015075,HhUnG022504,3.045621395,111,5,7.868050098,152,35,27
CRISP,Hh05G015075,HhUnG022505,0.582092285,458,5,3.683604002,681,167,107
CRISP,Hh10G019333,HhUnG022429,0.58634901,1176,5,19.41293716,1520,708,213
CRISP,Hh10G019333,HhUnG022502,0.651675642,568,5,5.168688297,829,200.5,130
CRISP,Hh10G019333,HhUnG022505,1.460756302,672,5,10.29645634,1015,203.5,161
CRISP,HhUnG022429,HhUnG022502,0.802286506,589,5,4.496818542,830,194,130
CRISP,HhUnG022429,HhUnG022504,5.821648598,287,5,15.32696247,404,80,67
CRISP,HhUnG022429,HhUnG022505,0.747744977,579,5,4.494927406,831,197,130
CRISP,HhUnG022502,HhUnG022504,1.44185245,447,5,4.870352268,593,279,92
CRISP,HhUnG022502,HhUnG022505,0.179204345,1155,5,0.979088902,1496,1035,200
CRISP,HhUnG022504,HhUnG022505,1.4935534,451,5,4.864085197,597,277,92
LIP,Hh01G001449,Hh01G002258,25.48926353,1608,4,25.61217499,1613,60.5,255
LIP,Hh01G001449,Hh02G007641,23.04398727,1704,4,23.3281002,1716,71.5,274
LIP,Hh01G001449,Hh02G008398,39.93422699,1136,1,39.93422699,1136,50.5,187
LIP,Hh01G001449,Hh03G009331,20.74347687,925,3,20.96105003,931,44.5,145
LIP,Hh01G001449,Hh04G011817,19.15847969,1089,4,19.41563225,1098,53.5,172
LIP,Hh01G001449,Hh04G011827,20.81744576,1519,3,20.9338913,1524,71,242
LIP,Hh01G001449,Hh06G016116,16.87056732,879,5,17.27744484,892,46.5,147
LIP,Hh01G001449,Hh10G019063,28.70168114,1292,2,28.773592,1294,60.5,203
LIP,Hh01G001449,Hh12G020432,20.27226067,861,2,20.30818367,862,57.5,136
LIP,Hh01G001449,Hh14G021077,1.85918653,2828,5,7.156615734,3979,1013.5,606
LIP,Hh01G002258,Hh02G007394,18.63356781,853,4,20.30484009,889,38,138
LIP,Hh01G002258,Hh02G007641,13.19159603,245,5,15.16373062,265,49.5,38
LIP,Hh01G002258,Hh04G011817,28.08231735,1825,2,28.20624542,1830,53.5,284
LIP,Hh01G002258,Hh04G011828,17.84117889,1618,5,19.46546745,1702,60,264
LIP,Hh01G002258,Hh10G019167,12.17193031,546,2,12.24749947,548,64.5,84
LIP,Hh01G002258,Hh12G020432,16.52595139,571,1,16.52595139,571,42.5,88
LIP,Hh01G002258,Hh14G021077,17.83942413,956,5,21.30614853,1040,67.5,165
LIP,Hh02G007394,Hh02G007641,1.005225539,1374,5,9.928887367,2105,442.5,328
LIP,Hh02G007394,Hh04G011826,17.11162186,655,4,17.44715118,663,36,104
LIP,Hh02G007394,Hh06G016116,1.003004789,1600,5,3.846819639,2177,635.5,330
LIP,Hh02G007394,Hh12G020432,0.905936062,1437,5,12.41069603,2265,476,352
LIP,Hh02G007641,Hh02G008398,6.984213829,2250,5,9.181885719,2489,741,364
LIP,Hh02G007641,Hh04G011659,1.991778135,1339,5,9.2117033,1892,353.5,287
LIP,Hh02G007641,Hh04G011817,27.0367775,2067,3,27.22224236,2075,66.5,328
LIP,Hh02G007641,Hh04G011826,23.28185654,1830,1,23.28185654,1830,76.5,287
LIP,Hh02G007641,Hh04G011828,15.3934679,1221,5,20.41108322,1397,59.5,218
LIP,Hh02G007641,Hh12G020432,0.869725347,2052,5,2.782945395,2670,919.5,388
LIP,Hh02G007641,Hh14G021077,22.89046478,1281,1,22.89046478,1281,50.5,197
LIP,Hh02G008398,Hh03G009331,12.00414467,581,5,13.35947227,611,44.5,98
LIP,Hh02G008398,Hh04G011659,7.669249535,1282,5,15.07655144,1712,300.5,264
LIP,Hh02G008398,Hh04G011817,16.81228447,695,1,16.81228447,695,46.5,107
LIP,Hh03G009331,Hh04G011659,19.67926407,1187,5,20.29665184,1208,63,194
LIP,Hh03G009331,Hh04G011817,30.34150696,872,1,30.34150696,872,63,136
LIP,Hh03G009331,Hh04G011825,17.21622086,748,5,17.43545341,754,72,115
LIP,Hh03G009331,Hh04G011826,5.027224064,681,5,14.09882641,883,56.5,140
LIP,Hh03G009331,Hh04G011827,11.07761097,1035,5,16.56866455,1255,69,194
LIP,Hh03G009331,Hh06G016116,18.69824409,987,1,18.69824409,987,56.5,155
LIP,Hh03G009331,Hh14G021077,19.58437729,1207,3,19.99392891,1221,42,199
LIP,Hh04G011659,Hh04G011826,14.10810852,566,5,16.12559319,609,46.5,96
LIP,Hh04G011659,Hh04G011827,19.61660767,988,1,19.61660767,988,54.5,155
LIP,Hh04G011659,Hh06G016116,0.948631048,1218,5,11.19161987,1795,406.5,276
LIP,Hh04G011659,Hh14G021077,17.41787148,866,2,17.51569939,869,64.5,138
LIP,Hh04G011817,Hh04G011825,22.89203262,2693,5,25.78801727,2849,824,411
LIP,Hh04G011817,Hh04G011826,0.570471883,1822,5,2.754320621,2558,878.5,368
LIP,Hh04G011817,Hh04G011827,0.479474872,1833,5,3.574651003,2478,866.5,356
LIP,Hh04G011817,Hh04G011828,23.34472084,3811,1,23.34472084,3811,1096.5,560
LIP,Hh04G011817,Hh10G019063,21.03009605,1823,5,22.13285828,1878,69,287
LIP,Hh04G011817,Hh12G020432,15.19672489,627,1,15.19672489,627,52.5,101
LIP,Hh04G011825,Hh04G011826,0.652503252,1752,5,14.43409348,2635,1099.5,360
LIP,Hh04G011825,Hh04G011827,0.601350784,1867,5,3.812469959,2389,944,336
LIP,Hh04G011825,Hh04G011828,14.75105667,2659,5,20.47029877,3061,676,455
LIP,Hh04G011825,Hh10G019167,19.44030571,1525,3,20.95659256,1581,47,243
LIP,Hh04G011825,Hh14G021077,24.13005829,2332,5,27.52465248,2510,64.5,400
LIP,Hh04G011826,Hh04G011827,0.499414593,2024,5,2.114667177,2791,1131,389
LIP,Hh04G011826,Hh04G011828,0.781412959,1733,5,2.794769287,2356,705,343
LIP,Hh04G011827,Hh04G011828,0.700636804,1704,5,2.931530952,2359,789.5,340
LIP,Hh04G011827,Hh14G021077,21.4653759,1546,5,23.25985909,1613,52.5,256
LIP,Hh04G011828,Hh12G020432,22.35086823,1796,4,22.61393929,1808,59,291
LIP,Hh06G016116,Hh10G019167,18.08848381,1379,5,19.90473938,1447,58.5,230
LIP,Hh06G016116,Hh12G020432,1.484080911,1537,5,5.67913723,2252,408,342
LIP,Hh06G016116,Hh14G021077,21.10420418,1294,5,22.31855392,1334,57,211
LIP,Hh10G019063,Hh10G019167,0.604957938,2233,5,7.859361649,2832,1095,401
LIP,Hh10G019063,Hh14G021077,19.7140522,1383,2,19.73808289,1384,64.5,216
LIP,Hh10G019167,Hh12G020432,17.45580101,400,1,17.45580101,400,34,61
LIP,Hh10G019167,Hh14G021077,24.86574554,1721,5,25.16740036,1734,68,270
PLA2,Hh01G001590,Hh03G008694,1.292291641,505,5,2.638944864,635,193,103
PLA2,Hh01G001590,Hh11G019715,0.917275608,260,5,5.435089588,405,110,65
PLA2,Hh01G001590,Hh11G019743,5.108253479,276,5,7.764482975,336,59.5,52
PLA2,Hh01G001590,Hh16G021921,0.535324335,460,5,1.757525802,618,201,97
PLA2,Hh01G004111,Hh06G015957,13.19515324,473,4,19.88677216,538,80,83
PLA2,Hh01G004111,Hh11G019715,7.933402538,124,1,7.933402538,124,27.5,22
PLA2,Hh01G004111,Hh11G019716,7.235883713,168,3,7.654191017,173,44,27
PLA2,Hh01G004111,Hh14G020926,5.534571171,263,5,8.266309738,321,58.5,49
PLA2,Hh01G004111,Hh16G021921,16.21794128,682,4,17.16596413,698,95.5,108
PLA2,Hh03G008694,Hh06G015957,2.152411461,512,5,9.031687737,786,148.5,125
PLA2,Hh03G008694,Hh11G019715,1.091798902,384,5,4.963823318,546,151.5,85
PLA2,Hh03G008694,Hh14G020926,0.722435057,511,5,4.787021637,711,230.5,113
PLA2,Hh03G008694,Hh16G021921,9.560726166,1102,5,26.31146431,1462,227.5,232
PLA2,Hh04G011863,Hh07G017101,1.017679214,835,5,23.91605949,1206,448,184
PLA2,Hh04G011863,Hh16G021921,14.94425869,402,1,14.94425869,402,61.5,66
PLA2,Hh06G015957,Hh11G019715,14.02896786,325,1,14.02896786,325,68.5,50
PLA2,Hh06G015957,Hh11G019743,11.25300121,471,1,11.25300121,471,48,75
PLA2,Hh06G015957,Hh14G020926,1.129543662,532,5,7.872074127,852,263,132
PLA2,Hh06G015957,Hh16G021921,1.280696511,374,5,6.134544849,536,172,80
PLA2,Hh07G017101,Hh16G021921,23.47935295,834,1,23.47935295,834,77,136
PLA2,Hh11G019715,Hh14G020926,1.30576098,387,5,9.599152565,552,171,84
PLA2,Hh11G019715,Hh16G021921,1.477407813,463,5,13.50584221,680,138.5,107
PLA2,Hh11G019716,Hh11G019743,9.064196587,266,1,9.064196587,266,47,42
PLA2,Hh11G019716,Hh16G021921,14.79228306,596,5,15.95506001,623,116.5,97
PLA2,Hh11G019743,Hh16G021921,9.94123745,286,2,10.05559349,288,82,45
PLA2,Hh14G020926,Hh16G021921,0.509367645,479,5,2.070631027,677,231.5,104
3FTx,Hh02G004177,Hh02G005288,9.880326271,459,1,9.880326271,459,324,62
3FTx,Hh02G004177,Hh03G008612,6.128628254,112,5,7.04937315,121,23,20
3FTx,Hh02G004177,Hh03G008631,7.979066849,199,5,13.41246414,243,103,34
3FTx,Hh02G004177,Hh03G023188,3.410803795,160,4,3.709810019,167,70.5,28
3FTx,Hh02G004177,Hh03G023189,3.41260767,159,3,3.715124369,166,65.5,28
3FTx,Hh02G004177,Hh03G023190,3.410804749,160,4,3.709810019,167,70.5,28
3FTx,Hh02G004177,HhUnG022166,12.4254055,219,4,15.80160618,243,103,34
3FTx,Hh02G004177,HhUnG023191,3.410807848,160,4,3.709813595,167,70.5,28
3FTx,Hh02G004177,HhUnG023192,3.412609816,159,3,3.715127468,166,65.5,28
3FTx,Hh02G005288,Hh03G008612,6.788815022,119,3,6.983101845,121,24,20
3FTx,Hh02G005288,Hh03G008631,14.82144928,315,5,15.48649216,323,30,56
3FTx,Hh02G005288,Hh03G023189,4.03715086,138,5,4.857521057,152,50.5,26
3FTx,Hh02G005288,Hh03G023190,3.982268333,138,5,4.869002342,153,55.5,26
3FTx,Hh02G005288,HhUnG023191,3.982270718,138,5,4.869007111,153,55.5,26
3FTx,Hh02G005288,HhUnG023192,4.037150383,138,5,4.857521057,152,50.5,26
3FTx,Hh03G008612,Hh03G008631,7.331490993,243,5,12.93877697,288,68.5,43
3FTx,Hh03G008612,Hh03G023188,2.74957943,326,5,4.560576439,396,143.5,57
3FTx,Hh03G008612,Hh03G023189,3.371768236,340,5,4.955317497,396,143.5,57
3FTx,Hh03G008612,Hh03G023190,2.74958086,326,5,4.5605793,396,143.5,57
3FTx,Hh03G008612,HhUnG022166,9.114017487,190,5,11.8078146,211,62.5,30
3FTx,Hh03G008612,HhUnG023191,2.749581099,326,5,4.5605793,396,143.5,57
3FTx,Hh03G008612,HhUnG023192,3.371772289,340,5,4.955321789,396,143.5,57
3FTx,Hh03G008631,Hh03G023188,5.468466282,270,5,13.12505436,343,211,47
3FTx,Hh03G008631,Hh03G023189,5.776199818,276,5,13.11622334,343,211,47
3FTx,Hh03G008631,Hh03G023190,5.46846199,270,5,13.1250515,343,211,47
3FTx,Hh03G008631,HhUnG023191,5.468459129,270,5,13.1250515,343,211,47
3FTx,Hh03G023188,Hh03G023189,0.064009137,428,5,1.159749746,615,450,81
3FTx,Hh03G023188,HhUnG022166,9.315695763,245,4,11.75077248,266,199,34
3FTx,Hh03G023188,HhUnG023192,0.06400872,428,5,1.15974915,615,450,81
3FTx,Hh03G023189,Hh03G023190,0.064008147,428,5,1.159752727,615,450,81
3FTx,Hh03G023189,HhUnG022166,9.305149078,245,4,11.65545559,266,199,34
3FTx,Hh03G023189,HhUnG023191,0.064009674,428,5,1.159753799,615,450,81
3FTx,Hh03G023190,HhUnG023192,0.064007714,428,5,1.159752131,615,450,81
3FTx,HhUnG022166,HhUnG023191,9.315692902,245,4,11.75077057,266,199,34
3FTx,HhUnG023191,HhUnG023192,0.064009286,428,5,1.159753323,615,450,81
CRISP,Hh01G000001,Hh01G002297,0.29788813,887,5,16.65111351,1166,752,150
CRISP,Hh01G000001,Hh03G008934,0.60469842,489,5,3.509505749,662,144.5,100
CRISP,Hh01G000001,Hh03G008935,0.833740652,431,5,10.22125816,677,139.5,98
CRISP,Hh01G000001,Hh03G010271,0.868750334,551,5,12.53364372,835,167,126
CRISP,Hh01G000001,Hh03G010642,1.308935523,535,5,16.89271927,809,147,123
CRISP,Hh01G000001,Hh04G012535,0.557144225,502,5,3.526119232,690,150,104
CRISP,Hh01G000001,Hh05G015075,1.740737915,480,5,5.013229847,643,129.5,96
CRISP,Hh01G000001,Hh10G019333,0.53150773,505,5,4.572869301,703,155.5,106
CRISP,Hh01G000001,HhUnG022502,0.542517364,564,5,10.15999317,802,503.5,103
CRISP,Hh01G000001,HhUnG022504,0.423522443,47,5,2.028063774,68,28,11
CRISP,Hh01G000001,HhUnG022505,0.53103447,555,5,10.40601921,789,490.5,103
CRISP,Hh01G002297,Hh02G004717,14.23645401,407,5,16.98228455,440,32,68
CRISP,Hh01G002297,Hh03G008934,0.647871792,459,5,3.520563364,623,131,94
CRISP,Hh01G002297,Hh03G008935,0.912994206,441,5,10.0948658,666,130.5,98
CRISP,Hh01G002297,Hh03G010271,1.395186782,606,5,11.65839958,821,153.5,124
CRISP,Hh01G002297,Hh03G010642,1.255897522,543,5,18.01567078,802,140.5,123
CRISP,Hh01G002297,Hh04G012535,0.695155919,539,5,4.579595089,807,154,121
CRISP,Hh01G002297,Hh05G015075,1.916637063,488,5,9.443417549,673,130,101
CRISP,Hh01G002297,Hh10G019333,0.560042918,466,5,3.518921852,674,139.5,102
CRISP,Hh01G002297,HhUnG022429,1.270168781,543,5,16.65006256,802,140.5,123
CRISP,Hh01G002297,HhUnG022502,0.742565274,593,5,14.88125515,872,479,117
CRISP,Hh01G002297,HhUnG022505,0.761988223,602,5,14.84394741,882,498,117
CRISP,Hh02G004717,Hh03G010271,5.584490776,263,5,8.299114227,314,75.5,51
CRISP,Hh02G004717,Hh03G010642,9.889593124,213,1,9.889593124,213,50,35
CRISP,Hh02G004717,Hh05G015075,3.698898315,144,4,4.144321918,152,34,27
CRISP,Hh02G004717,Hh10G019333,11.24184418,414,5,13.07297421,451,87.5,75
CRISP,Hh02G004717,HhUnG022429,7.480565071,318,5,12.91280746,408,88,67
CRISP,Hh02G004717,HhUnG022502,0.831164479,407,5,4.446551323,593,278,92
CRISP,Hh02G004717,HhUnG022505,0.768994451,406,5,4.483448029,597,276,92
CRISP,Hh03G008934,Hh03G008935,0.625953972,1227,5,12.81553364,1652,804.5,233
CRISP,Hh03G008934,Hh03G010271,0.692901492,866,5,9.854933739,1320,329,201
CRISP,Hh03G008934,Hh03G010642,0.69876945,1005,5,10.6694746,1321,554,187
CRISP,Hh03G008934,Hh04G012535,1.315351486,949,5,16.47486496,1378,366.5,206
CRISP,Hh03G008934,Hh05G015075,0.731257021,514,5,4.458281994,806,110,123
CRISP,Hh03G008934,Hh10G019333,23.28845215,3071,4,28.16114807,3224,1448,457
CRISP,Hh03G008934,HhUnG022429,0.671845675,1201,5,11.13791275,1535,699,219
CRISP,Hh03G008934,HhUnG022502,2.213233709,757,5,18.48606491,1156,198,179
CRISP,Hh03G008934,HhUnG022505,0.78649807,585,5,7.382766724,933,188.5,147
CRISP,Hh03G008935,Hh03G010271,0.691670179,868,5,16.44902802,1254,285.5,189
CRISP,Hh03G008935,Hh03G010642,0.525703728,981,5,7.437532425,1427,644,201
CRISP,Hh03G008935,Hh04G012535,0.603012979,786,5,6.201557159,1116,334,168
CRISP,Hh03G008935,Hh05G015075,1.151509881,547,5,7.050889015,845,123,130
CRISP,Hh03G008935,Hh10G019333,0.422209918,1143,5,21.35795021,1570,729.5,223
CRISP,Hh03G008935,HhUnG022429,0.437955976,1220,5,8.995155334,1723,836,244
CRISP,Hh03G008935,HhUnG022502,0.808872223,553,5,8.93512249,801,196.5,122
CRISP,Hh03G008935,HhUnG022505,0.7715922,545,5,8.952597618,796,192.5,122
CRISP,Hh03G010271,Hh04G012535,0.735195696,953,5,14.03743839,1445,370,223
CRISP,Hh03G010271,Hh05G015075,2.697999001,684,5,7.036143303,960,128,146
CRISP,Hh03G010271,Hh10G019333,0.486079484,811,5,6.763286114,1183,321.5,181
CRISP,Hh03G010271,HhUnG022429,0.540212929,766,5,3.213909388,1074,295,164
CRISP,Hh03G010271,HhUnG022502,0.76351279,642,5,5.157099724,918,217.5,142
CRISP,Hh03G010271,HhUnG022505,0.77667135,634,5,5.100679398,906,199.5,142
CRISP,Hh03G010642,Hh04G012535,1.134940624,708,5,20.06835365,1008,237.5,147
CRISP,Hh03G010642,Hh05G015075,1.002148986,487,5,5.87035799,770,103.5,120
CRISP,Hh03G010642,Hh10G019333,0.968757093,1041,5,20.47214127,1305,556,181
CRISP,Hh03G010642,HhUnG022429,0.210781127,1140,5,4.41443491,1682,1143,205
CRISP,Hh03G010642,HhUnG022504,9.984657288,213,1,9.984657288,213,50,35
CRISP,Hh03G010642,HhUnG022505,0.599208117,437,5,4.874024391,657,147,100
CRISP,Hh04G012535,Hh05G015075,2.04154563,646,5,5.831035614,913,111.5,144
CRISP,Hh04G012535,Hh10G019333,1.284084797,894,5,18.37853622,1316,348,196
CRISP,Hh04G012535,HhUnG022502,0.594897151,540,5,3.622702837,794,203.5,125
CRISP,Hh04G012535,HhUnG022505,0.596747696,540,5,3.594131947,788,204.5,125
CRISP,Hh05G015075,Hh10G019333,1.685624719,623,5,5.251868248,878,149,134
CRISP,Hh05G015075,HhUnG022429,0.926413596,563,5,5.823282719,889,117,139
CRISP,Hh05G015075,HhUnG022502,0.541712344,460,5,3.671597719,684,164,107
CRISP,Hh05G015075,HhUnG022505,0.582092464,458,5,3.68360281,681,167,107
CRISP,Hh10G019333,HhUnG022429,0.586348653,1176,5,19.41293907,1520,708,213
CRISP,Hh10G019333,HhUnG022502,0.651675999,568,5,5.168689251,829,200.5,130
CRISP,Hh10G019333,HhUnG022504,9.3048172,360,5,15.92026901,451,86.5,75
CRISP,Hh10G019333,HhUnG022505,1.460756302,672,5,10.2964592,1015,203.5,161
CRISP,HhUnG022429,HhUnG022502,0.80228734,589,5,4.496819019,830,194,130
CRISP,HhUnG022429,HhUnG022504,5.821648598,287,5,15.32696438,404,80,67
CRISP,HhUnG022429,HhUnG022505,0.747745335,579,5,4.494926929,831,197,130
CRISP,HhUnG022502,HhUnG022504,1.441854,447,5,4.870352745,593,279,92
CRISP,HhUnG022502,HhUnG022505,0.179204658,1155,5,0.979088604,1496,1035,200
CRISP,HhUnG022504,HhUnG022505,1.493554354,451,5,4.864086151,597,277,92
LIP,Hh01G001449,Hh01G002258,25.48926163,1608,4,25.61217499,1613,60.5,255
LIP,Hh01G001449,Hh02G007394,13.76964951,322,5,14.51515102,333,41.5,49
LIP,Hh01G001449,Hh04G011826,27.10307121,1962,4,27.37545395,1974,70,311
LIP,Hh01G001449,Hh14G021077,1.859186172,2828,5,7.156615257,3979,1013.5,606
LIP,Hh01G002258,Hh02G007394,18.6335659,853,4,20.30484009,889,38,138
LIP,Hh01G002258,Hh04G011817,28.08231544,1825,2,28.20624352,1830,53.5,284
LIP,Hh02G007394,Hh02G007641,1.005225182,1374,5,9.928887367,2105,442.5,328
LIP,Hh02G007394,Hh04G011825,23.84327126,1465,5,24.09759521,1475,54.5,235
LIP,Hh02G007394,Hh04G011826,17.11161995,655,4,17.44715118,663,36,104
LIP,Hh02G007394,Hh04G011828,26.12236977,1720,5,29.81020737,1825,55,286
LIP,Hh02G007394,Hh06G016116,1.003004551,1600,5,3.846819401,2177,635.5,330
LIP,Hh02G007394,Hh12G020432,0.905936062,1437,5,12.41069508,2265,476,352
LIP,Hh02G007641,Hh02G008398,6.984212875,2250,5,9.181884766,2489,741,364
LIP,Hh02G007641,Hh04G011659,1.99177742,1339,5,9.211702347,1892,353.5,287
LIP,Hh02G007641,Hh04G011817,27.03677368,2067,3,27.22223854,2075,66.5,328
LIP,Hh02G007641,Hh04G011828,15.39346695,1221,5,20.41108131,1397,59.5,218
LIP,Hh02G007641,Hh06G016116,1.340834618,1548,5,7.011765003,2290,419,350
LIP,Hh02G007641,Hh12G020432,0.869725049,2052,5,2.782945156,2670,919.5,388
LIP,Hh02G007641,Hh14G021077,22.89046669,1281,1,22.89046669,1281,50.5,197
LIP,Hh02G008398,Hh04G011817,16.81228256,695,1,16.81228256,695,46.5,107
LIP,Hh02G008398,Hh04G011825,24.40256119,566,5,25.22862434,578,50.5,82
LIP,Hh02G008398,Hh04G011826,9.753695488,435,5,12.88835049,489,36,74
LIP,Hh02G008398,Hh06G016116,4.841930866,1488,5,11.97132492,1954,310,305
LIP,Hh02G008398,Hh12G020432,6.44281292,2207,5,7.040537834,2289,715,341
LIP,Hh03G009331,Hh04G011659,19.67926407,1187,5,20.29664993,1208,63,194
LIP,Hh03G009331,Hh04G011817,30.34150314,872,1,30.34150314,872,63,136
LIP,Hh03G009331,Hh10G019063,11.97268677,194,5,17.33525467,230,43,37
LIP,Hh04G011659,Hh04G011817,28.61946106,1982,4,29.13737106,2004,60,313
LIP,Hh04G011659,Hh06G016116,0.948630989,1218,5,11.19161987,1795,406.5,276
LIP,Hh04G011659,Hh12G020432,5.651803493,1617,5,18.81542587,2358,385.5,368
LIP,Hh04G011817,Hh04G011825,22.89203072,2693,5,25.78801537,2849,824,411
LIP,Hh04G011817,Hh04G011826,0.570471644,1822,5,2.754320145,2558,878.5,368
LIP,Hh04G011817,Hh04G011827,0.479475051,1833,5,3.574650526,2478,866.5,356
LIP,Hh04G011817,Hh04G011828,23.34471893,3811,1,23.34471893,3811,1096.5,560
LIP,Hh04G011817,Hh06G016116,14.10262012,988,4,14.90748405,1017,71.5,157
LIP,Hh04G011825,Hh04G011826,0.652503133,1752,5,14.43409252,2635,1099.5,360
LIP,Hh04G011825,Hh04G011827,0.601350307,1867,5,3.812469482,2389,944,336
LIP,Hh04G011825,Hh14G021077,24.1300602,2332,5,27.52465248,2510,64.5,400
LIP,Hh04G011826,Hh04G011827,0.499414444,2024,5,2.114667654,2791,1131,389
LIP,Hh04G011826,Hh04G011828,0.781413138,1733,5,2.794769764,2356,705,343
LIP,Hh04G011826,Hh14G021077,21.50066376,783,3,21.58549309,785,65.5,122
LIP,Hh04G011827,Hh10G019063,15.86766911,1455,5,18.64575768,1586,60.5,240
LIP,Hh04G011827,Hh12G020432,15.53006935,784,5,17.17822456,827,60,129
LIP,Hh04G011828,Hh06G016116,15.05604935,1059,5,19.1460495,1161,66,182
LIP,Hh04G011828,Hh12G020432,22.35086632,1796,4,22.61393738,1808,59,291
LIP,Hh06G016116,Hh12G020432,1.484080791,1537,5,5.67913723,2252,408,342
LIP,Hh10G019063,Hh10G019167,0.604957104,2233,5,7.859361649,2832,1095,401
LIP,Hh10G019063,Hh12G020432,19.36777496,801,1,19.36777496,801,51.5,126
LIP,Hh10G019063,Hh14G021077,19.7140522,1383,2,19.73808479,1384,64.5,216
LIP,Hh10G019167,Hh14G021077,24.86574745,1721,5,25.16740227,1734,68,270
LIP,Hh12G020432,Hh14G021077,15.42163944,616,2,15.55121326,619,49.5,94
PLA2,Hh01G001590,Hh01G004111,4.552285671,299,5,5.847800255,333,86.5,51
PLA2,Hh01G001590,Hh03G008694,1.29229176,505,5,2.638944387,635,193,103
PLA2,Hh01G001590,Hh06G015957,6.595833302,533,5,9.639550209,641,143,98
PLA2,Hh01G001590,Hh11G019715,0.917275667,260,5,5.435089588,405,110,65
PLA2,Hh01G001590,Hh11G019743,5.108253479,276,5,7.764483452,336,59.5,52
PLA2,Hh01G001590,Hh14G020926,0.645114481,516,5,2.647054195,737,203.5,118
PLA2,Hh01G001590,Hh16G021921,0.535324454,460,5,1.757525802,618,201,97
PLA2,Hh01G004111,Hh04G011863,13.83511162,449,4,15.5138073,472,49,77
PLA2,Hh01G004111,Hh11G019716,7.235883713,168,3,7.65419054,173,44,27
PLA2,Hh01G004111,Hh14G020926,5.534571648,263,5,8.266310692,321,58.5,49
PLA2,Hh03G008694,Hh04G011863,14.15196323,652,5,15.99824047,698,64.5,113
PLA2,Hh03G008694,Hh06G015957,2.152411461,512,5,9.031686783,786,148.5,125
PLA2,Hh03G008694,Hh11G019715,1.091799021,384,5,4.963823318,546,151.5,85
